d_m,l2_full,l2_carrier,l2_delay,l2_tracked
0.001,0.08408,0.08409,0.0004,0.0004
0.001585,0.13325,0.13326,0.00064,0.00064
0.002512,0.21116,0.21116,0.00102,0.00102
0.003981,0.33452,0.33452,0.00161,0.00161
0.00631,0.52962,0.52961,0.00255,0.00255
0.01,0.83713,0.83707,0.00405,0.00405
0.015849,1.31772,1.31756,0.00642,0.00642
0.025119,2.05262,2.0522,0.01018,0.01018
0.039811,3.11286,3.11178,0.01611,0.01611
0.063096,4.39948,4.39689,0.02545,0.02545
0.1,5.08214,5.07712,0.04039,0.0404
0.158489,2.55813,2.55319,0.06391,0.06391
0.251189,4.31222,4.3006,0.0999,0.0999
0.398107,1.46589,1.45277,0.15588,0.15588
0.630957,4.29476,4.26332,0.24349,0.24349
1.0,3.70772,3.65814,0.37848,0.37849
1.584893,4.46838,4.37328,0.5806,0.58059
2.511886,3.17227,2.99454,0.88338,0.88344
3.981072,1.81582,1.25626,1.27327,1.2733
6.309573,2.86201,2.41207,1.45446,1.45451
10.0,5.17315,5.02986,0.70992,0.71003
15.848932,4.26569,3.99204,1.2483,1.2485
25.118864,0.46332,0.00837,0.46387,0.46369
39.810717,3.36282,3.08031,1.26861,1.26766
63.095734,5.21318,4.96966,1.10287,1.09949
100.0,5.39315,5.09314,1.34136,1.33203
158.489319,2.5124,2.06691,1.048,1.02264
251.188643,0.70885,0.08367,0.74078,0.66118
398.107171,1.28889,1.06892,1.25601,1.15124
630.957344,4.94219,4.09016,1.94565,1.7442
1000.0,2.51264,0.56638,2.72269,2.41756
1584.893192,5.78644,4.38464,3.40618,2.88014
2511.886432,4.0724,0.83297,4.42244,3.64367
3981.071706,6.36667,4.3594,5.43096,4.5062
6309.573445,6.34007,0.51507,6.47855,5.66148
10000.0,5.83218,4.57185,6.47855,5.66148
