theta_s,scenario,H_malicious_hops,mapping,gamma_m_s,delta_evade_worst_s,delta_pos_m,tube_m,amplification,certified_floor
0.05,1,2,kinematic_v15,15.0,0.1,1.5,4.886,gronwall_L1.181_T1,0.75
0.05,1,2,empirical_receiver,1.195,0.1,0.12,0.389,gronwall_L1.181_T1,1.0
0.05,1,2,empirical_ekf,1.365,0.1,0.137,0.445,gronwall_L1.181_T1,1.0
0.05,1,2,kinematic_v15,15.0,0.1,1.5,1.5,unamplified_A1,1.0
0.05,1,2,empirical_receiver,1.195,0.1,0.12,0.12,unamplified_A1,1.0
0.05,1,2,empirical_ekf,1.365,0.1,0.137,0.137,unamplified_A1,1.0
0.05,2,2,kinematic_v15,15.0,0.1,1.5,4.886,gronwall_L1.181_T1,0.75
0.05,2,2,empirical_receiver,1.195,0.1,0.12,0.389,gronwall_L1.181_T1,1.0
0.05,2,2,empirical_ekf,1.365,0.1,0.137,0.445,gronwall_L1.181_T1,1.0
0.05,2,2,kinematic_v15,15.0,0.1,1.5,1.5,unamplified_A1,1.0
0.05,2,2,empirical_receiver,1.195,0.1,0.12,0.12,unamplified_A1,1.0
0.05,2,2,empirical_ekf,1.365,0.1,0.137,0.137,unamplified_A1,1.0
0.05,3,2,kinematic_v15,15.0,0.1,1.5,4.886,gronwall_L1.181_T1,0.75
0.05,3,2,empirical_receiver,1.195,0.1,0.12,0.389,gronwall_L1.181_T1,1.0
0.05,3,2,empirical_ekf,1.365,0.1,0.137,0.445,gronwall_L1.181_T1,1.0
0.05,3,2,kinematic_v15,15.0,0.1,1.5,1.5,unamplified_A1,1.0
0.05,3,2,empirical_receiver,1.195,0.1,0.12,0.12,unamplified_A1,1.0
0.05,3,2,empirical_ekf,1.365,0.1,0.137,0.137,unamplified_A1,1.0
0.1,1,2,kinematic_v15,15.0,0.2,3.0,9.773,gronwall_L1.181_T1,0.5
0.1,1,2,empirical_receiver,1.195,0.2,0.239,0.779,gronwall_L1.181_T1,1.0
0.1,1,2,empirical_ekf,1.365,0.2,0.273,0.889,gronwall_L1.181_T1,1.0
0.1,1,2,kinematic_v15,15.0,0.2,3.0,3.0,unamplified_A1,0.75
0.1,1,2,empirical_receiver,1.195,0.2,0.239,0.239,unamplified_A1,1.0
0.1,1,2,empirical_ekf,1.365,0.2,0.273,0.273,unamplified_A1,1.0
0.1,2,2,kinematic_v15,15.0,0.2,3.0,9.773,gronwall_L1.181_T1,0.5
0.1,2,2,empirical_receiver,1.195,0.2,0.239,0.779,gronwall_L1.181_T1,1.0
0.1,2,2,empirical_ekf,1.365,0.2,0.273,0.889,gronwall_L1.181_T1,1.0
0.1,2,2,kinematic_v15,15.0,0.2,3.0,3.0,unamplified_A1,0.75
0.1,2,2,empirical_receiver,1.195,0.2,0.239,0.239,unamplified_A1,1.0
0.1,2,2,empirical_ekf,1.365,0.2,0.273,0.273,unamplified_A1,1.0
0.1,3,2,kinematic_v15,15.0,0.2,3.0,9.773,gronwall_L1.181_T1,0.5
0.1,3,2,empirical_receiver,1.195,0.2,0.239,0.779,gronwall_L1.181_T1,1.0
0.1,3,2,empirical_ekf,1.365,0.2,0.273,0.889,gronwall_L1.181_T1,1.0
0.1,3,2,kinematic_v15,15.0,0.2,3.0,3.0,unamplified_A1,0.75
0.1,3,2,empirical_receiver,1.195,0.2,0.239,0.239,unamplified_A1,1.0
0.1,3,2,empirical_ekf,1.365,0.2,0.273,0.273,unamplified_A1,1.0
0.121,1,2,kinematic_v15,15.0,0.242,3.63,11.825,gronwall_L1.181_T1,0.25
0.121,1,2,empirical_receiver,1.195,0.242,0.289,0.942,gronwall_L1.181_T1,1.0
0.121,1,2,empirical_ekf,1.365,0.242,0.33,1.076,gronwall_L1.181_T1,1.0
0.121,1,2,kinematic_v15,15.0,0.242,3.63,3.63,unamplified_A1,0.75
0.121,1,2,empirical_receiver,1.195,0.242,0.289,0.289,unamplified_A1,1.0
0.121,1,2,empirical_ekf,1.365,0.242,0.33,0.33,unamplified_A1,1.0
0.121,2,2,kinematic_v15,15.0,0.242,3.63,11.825,gronwall_L1.181_T1,0.25
0.121,2,2,empirical_receiver,1.195,0.242,0.289,0.942,gronwall_L1.181_T1,1.0
0.121,2,2,empirical_ekf,1.365,0.242,0.33,1.076,gronwall_L1.181_T1,1.0
0.121,2,2,kinematic_v15,15.0,0.242,3.63,3.63,unamplified_A1,0.75
0.121,2,2,empirical_receiver,1.195,0.242,0.289,0.289,unamplified_A1,1.0
0.121,2,2,empirical_ekf,1.365,0.242,0.33,0.33,unamplified_A1,1.0
0.121,3,2,kinematic_v15,15.0,0.242,3.63,11.825,gronwall_L1.181_T1,0.25
0.121,3,2,empirical_receiver,1.195,0.242,0.289,0.942,gronwall_L1.181_T1,1.0
0.121,3,2,empirical_ekf,1.365,0.242,0.33,1.076,gronwall_L1.181_T1,1.0
0.121,3,2,kinematic_v15,15.0,0.242,3.63,3.63,unamplified_A1,0.75
0.121,3,2,empirical_receiver,1.195,0.242,0.289,0.289,unamplified_A1,1.0
0.121,3,2,empirical_ekf,1.365,0.242,0.33,0.33,unamplified_A1,1.0
0.15,1,2,kinematic_v15,15.0,0.3,4.5,14.659,gronwall_L1.181_T1,0.25
0.15,1,2,empirical_receiver,1.195,0.3,0.358,1.168,gronwall_L1.181_T1,1.0
0.15,1,2,empirical_ekf,1.365,0.3,0.409,1.334,gronwall_L1.181_T1,1.0
0.15,1,2,kinematic_v15,15.0,0.3,4.5,4.5,unamplified_A1,0.75
