scenario,mode,epsilon,seed,policy,H_malicious_hops,delta_undetected_s,delta_total_s,delta_evade_worst_s,floor_composed,floor_composed_worst,floor_autonomy_only,floor_network_only,floor_composed__kinematic_v15,floor_autonomy_only__kinematic_v15,floor_composed__empirical_receiver,floor_autonomy_only__empirical_receiver,floor_composed__empirical_ekf,floor_autonomy_only__empirical_ekf
1,low,0.25,37,AODV,2,0.0,8.137,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,37,DSDV,2,0.0,8.137,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,37,DSR,2,0.0,8.137,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,37,OLSR,2,0.0,8.137,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,38,AODV,2,0.0,8.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,38,DSDV,2,0.0,8.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,38,DSR,2,0.0,68.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,38,OLSR,2,0.0,8.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,39,AODV,2,0.0,8.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,39,DSDV,2,0.0,8.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,39,DSR,2,0.0,68.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,39,OLSR,2,0.0,8.435,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,40,AODV,2,0.0,67.253,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,40,DSDV,1,0.0,63.415,0.25,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,40,DSR,2,0.0,127.253,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,40,OLSR,2,0.0,67.253,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,41,AODV,1,0.0,3.838,0.25,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,0.25,41,DSDV,1,0.0,3.838,0.25,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,0.25,41,DSR,2,0.0,247.676,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,41,OLSR,1,0.0,3.838,0.25,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,0.25,42,AODV,2,0.0,7.457,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,42,DSDV,2,0.0,7.457,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,42,DSR,2,0.0,67.457,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,42,OLSR,2,0.0,7.457,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,43,AODV,2,0.0,7.253,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,43,DSDV,2,0.0,7.253,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,43,DSR,2,0.0,7.253,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,43,OLSR,2,0.0,7.253,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,44,AODV,2,0.0,7.02,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,44,DSDV,2,0.0,7.02,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,0.25,44,DSR,2,0.0,67.02,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
