defense,js_db,js_actual,mcr,n,ci_low,ci_high
no_def,0,0.0,0.99,600,0.9784,0.9954
no_def,5,5.0,0.9467,600,0.9257,0.962
no_def,10,10.0,0.8317,600,0.7996,0.8595
no_def,15,15.0,0.51,600,0.4701,0.5498
no_def,20,20.0,0.2633,600,0.2297,0.3
no_def,25,25.0,0.125,600,0.1009,0.1539
no_def,30,30.0,0.0383,600,0.0257,0.0569
no_def,35,35.0,0.0133,600,0.0068,0.0261
no_def,40,40.0,0.0,600,0.0,0.0064
caf_cnn,0,0.0,0.9867,600,0.9739,0.9932
caf_cnn,5,5.0,0.955,600,0.9353,0.9689
caf_cnn,10,10.0,0.9167,600,0.8918,0.9362
caf_cnn,15,15.0,0.8467,600,0.8156,0.8733
caf_cnn,20,20.0,0.6917,600,0.6536,0.7273
caf_cnn,25,25.0,0.51,600,0.4701,0.5498
caf_cnn,30,30.0,0.3233,600,0.2871,0.3618
caf_cnn,35,35.0,0.1783,600,0.1498,0.211
caf_cnn,40,40.0,0.0683,600,0.0508,0.0914
seq2seq_tr,0,0.0,1.0,600,0.9936,1.0
seq2seq_tr,5,5.0,0.97,600,0.9531,0.9809
seq2seq_tr,10,10.0,0.9483,600,0.9276,0.9634
seq2seq_tr,15,15.0,0.9133,600,0.8881,0.9333
seq2seq_tr,20,20.0,0.7633,600,0.7277,0.7956
seq2seq_tr,25,25.0,0.635,600,0.5957,0.6726
seq2seq_tr,30,30.0,0.51,600,0.4701,0.5498
seq2seq_tr,35,35.0,0.275,600,0.2408,0.3121
seq2seq_tr,40,40.0,0.12,600,0.0964,0.1484
ours_m1m4m6m7,0,0.0,1.0,600,0.9936,1.0
ours_m1m4m6m7,5,5.0,1.0,600,0.9936,1.0
ours_m1m4m6m7,10,10.0,0.9983,600,0.9906,0.9997
ours_m1m4m6m7,15,15.0,0.9783,600,0.9633,0.9873
ours_m1m4m6m7,20,20.0,0.9383,600,0.9162,0.9549
ours_m1m4m6m7,25,25.0,0.9133,600,0.8881,0.9333
ours_m1m4m6m7,30,30.0,0.7933,600,0.7591,0.8238
ours_m1m4m6m7,35,35.0,0.71,600,0.6724,0.7449
ours_m1m4m6m7,40,40.0,0.53,600,0.49,0.5696
