flight,source,onset_kind,t_s,staleness_s,err_m,err_at_onset_m,gamma_cum_m_s,gamma_delta_m_s,gamma_inst_m_s,sats,hdop,noise_per_ms,fix_type,speed_m_s,accel_m_s2
gps_jamming,receiver,fix_loss,176.0,1.01,0.5936,0.6368,0.5906,0.0,0.53,11,0.79,140,3,0.135,2.911
gps_jamming,receiver,fix_loss,177.0,2.0,3.0995,0.6368,1.5491,1.2309,0.5565,11,0.79,150,3,0.412,4.567
gps_jamming,receiver,fix_loss,178.0,3.0,2.3932,0.6368,0.7969,0.5849,0.6541,12,0.78,150,3,0.312,5.323
gps_jamming,receiver,fix_loss,179.0,4.01,3.9053,0.6368,0.9751,0.8161,0.622,12,0.78,160,3,0.268,4.72
gps_jamming,receiver,fix_loss,180.0,5.01,4.8653,0.6368,0.9721,0.8448,0.5073,12,0.78,160,3,0.158,7.028
gps_jamming,receiver,fix_loss,181.0,6.01,5.0674,0.6368,0.8439,0.7378,0.3115,12,0.78,160,3,0.765,2.758
gps_jamming,receiver,fix_loss,182.0,7.01,5.2202,0.6368,0.7452,0.6543,0.2983,12,0.78,160,3,1.159,4.225
gps_jamming,receiver,fix_loss,183.0,8.01,5.6429,0.6368,0.7049,0.6254,0.1465,12,0.78,160,3,1.219,9.485
gps_jamming,receiver,fix_loss,184.0,9.0,5.9412,0.6368,0.6598,0.5891,0.1773,12,0.78,161,3,0.52,5.353
gps_jamming,receiver,fix_loss,185.0,10.0,5.4169,0.6368,0.5416,0.478,0.158,12,0.78,171,3,1.099,3.227
gps_jamming,receiver,fix_loss,186.0,11.0,5.0505,0.6368,0.459,0.4011,0.1591,12,0.78,159,3,0.355,10.784
gps_jamming,receiver,fix_loss,187.0,12.01,4.812,0.6368,0.4008,0.3477,0.0026,12,0.78,160,3,0.204,5.649
gps_jamming,receiver,fix_loss,188.0,13.0,6.5443,0.6368,0.5033,0.4544,0.0026,12,0.78,170,3,0.662,8.981
gps_jamming,receiver,fix_loss,189.0,14.0,6.7294,0.6368,0.4805,0.4351,-0.0459,12,0.78,159,3,0.73,6.146
gps_jamming,receiver,fix_loss,189.99,15.0,6.7264,0.6368,0.4485,0.4061,-0.0472,12,0.78,148,3,0.223,6.059
gps_jamming,receiver,fix_loss,191.0,16.01,5.4149,0.6368,0.3383,0.2985,-0.1555,14,0.71,147,3,0.377,10.131
gps_jamming,receiver,fix_loss,192.0,17.0,4.6226,0.6368,0.2718,0.2344,-0.1617,14,0.71,148,3,0.574,12.334
gps_jamming,receiver,fix_loss,193.0,18.01,4.8597,0.6368,0.2699,0.2345,-0.339,14,0.71,148,3,1.406,3.983
gps_jamming,receiver,fix_loss,194.01,19.01,5.1842,0.6368,0.2727,0.2392,-0.3267,14,0.71,158,3,0.098,4.164
gps_jamming,receiver,fix_loss,195.0,20.01,4.963,0.6368,0.248,0.2162,-0.2781,14,0.71,147,3,0.569,7.405
gps_jamming,receiver,fix_loss,196.0,21.01,4.6473,0.6368,0.2212,0.1909,-0.2541,14,0.71,147,3,0.728,2.454
gps_jamming,receiver,fix_loss,197.0,22.01,3.6025,0.6368,0.1637,0.1348,-0.3014,14,0.71,147,3,0.668,1.891
gps_jamming,receiver,fix_loss,198.0,23.01,3.217,0.6368,0.1398,0.1122,-0.2487,13,0.79,147,3,0.574,1.17
gps_jamming,receiver,fix_loss,199.0,24.0,3.1054,0.6368,0.1294,0.1028,-0.2526,12,0.82,147,3,0.179,9.03
gps_jamming,receiver,fix_loss,200.0,25.0,2.9702,0.6368,0.1188,0.0933,-0.2225,12,0.82,147,3,0.966,4.76
gps_jamming,receiver,fix_loss,201.0,26.01,3.2867,0.6368,0.1264,0.1019,-0.1467,13,0.74,147,3,1.543,2.989
gps_jamming,receiver,fix_loss,202.02,27.02,3.4339,0.6368,0.1271,0.1035,-0.0986,14,0.71,157,3,1.102,3.446
gps_jamming,receiver,fix_loss,203.0,28.01,2.7177,0.6368,0.097,0.0743,-0.096,14,0.71,157,3,1.917,5.785
gps_jamming,receiver,fix_loss,204.01,29.01,2.4638,0.6368,0.0849,0.063,-0.1343,14,0.71,157,3,0.812,4.199
gps_jamming,receiver,fix_loss,205.01,30.02,2.6725,0.6368,0.089,0.0678,-0.1946,14,0.71,157,3,0.947,8.478
gps_jamming,receiver,fix_loss,206.0,31.01,2.6758,0.6368,0.0863,0.0658,-0.1941,14,0.71,157,3,0.771,1.726
gps_jamming,receiver,fix_loss,207.0,32.01,2.2611,0.6368,0.0706,0.0507,-0.209,14,0.71,157,3,0.112,6.192
gps_jamming,receiver,fix_loss,208.0,33.01,2.5167,0.6368,0.0763,0.057,-0.2166,14,0.71,156,3,0.764,3.292
gps_jamming,receiver,fix_loss,209.0,34.0,1.749,0.6368,0.0514,0.0327,-0.2255,12,0.77,146,3,0.239,7.21
gps_jamming,receiver,fix_loss,210.0,35.0,1.2115,0.6368,0.0346,0.0164,-0.2535,12,0.77,147,3,0.214,7.064
gps_jamming,receiver,fix_loss,211.0,36.0,1.4425,0.6368,0.0401,0.0224,-0.2174,12,0.77,146,3,0.536,7.995
gps_jamming,receiver,fix_loss,212.0,37.01,1.0141,0.6368,0.0274,0.0102,-0.1378,13,0.73,146,3,0.637,3.938
gps_jamming,receiver,fix_loss,213.0,38.0,0.5428,0.6368,0.0143,0.0,-0.1227,13,0.75,147,3,1.035,3.018
gps_jamming,receiver,fix_loss,214.0,39.0,0.7987,0.6368,0.0205,0.0042,-0.0341,13,0.75,147,3,1.249,0.766
gps_jamming,receiver,fix_loss,215.0,40.0,1.1446,0.6368,0.0286,0.0127,0.0451,13,0.75,157,3,0.923,9.646
gps_jamming,receiver,fix_loss,216.0,41.0,0.8704,0.6368,0.0212,0.0057,0.1078,13,0.75,156,3,0.617,3.871
gps_jamming,receiver,fix_loss,217.0,42.01,1.2536,0.6368,0.0298,0.0147,0.0988,14,0.71,145,3,0.541,0.202
gps_jamming,receiver,fix_loss,218.0,43.01,1.3365,0.6368,0.0311,0.0163,0.1081,14,0.71,145,3,0.456,0.059
gps_jamming,receiver,fix_loss,219.0,44.0,1.5035,0.6368,0.0342,0.0197,0.1003,14,0.71,146,3,0.401,0.023
gps_jamming,receiver,fix_loss,220.0,45.01,1.6135,0.6368,0.0358,0.0217,0.1186,14,0.71,146,3,0.354,0.038
gps_jamming,receiver,fix_loss,221.0,46.01,1.4933,0.6368,0.0325,0.0186,0.084,14,0.71,146,3,0.364,0.027
gps_jamming,receiver,fix_loss,222.01,47.01,1.7263,0.6368,0.0367,0.0232,0.0769,14,0.71,155,3,0.235,0.013
gps_jamming,ekf,3x_noise_p95,177.59,0.5,1.961,1.4945,3.9229,0.9331,0.5429,12,0.78,150,3,0.331,2.004
gps_jamming,ekf,3x_noise_p95,177.69,0.6,1.9893,1.4945,3.3164,0.8249,0.5538,12,0.78,150,3,0.327,4.394
gps_jamming,ekf,3x_noise_p95,177.79,0.7,2.013,1.4945,2.8765,0.7409,0.5644,12,0.78,150,3,0.312,5.323
gps_jamming,ekf,3x_noise_p95,177.89,0.8,2.0314,1.4945,2.5398,0.6712,0.5747,12,0.78,150,3,0.29,9.491
gps_jamming,ekf,3x_noise_p95,177.99,0.9,2.0544,1.4945,2.2832,0.6222,0.5844,12,0.78,150,3,0.207,11.181
gps_jamming,ekf,3x_noise_p95,178.09,1.0,2.0798,1.4945,2.0803,0.5854,0.5937,12,0.78,150,3,0.086,6.487
gps_jamming,ekf,3x_noise_p95,178.19,1.1,2.1306,1.4945,1.9374,0.5784,0.5938,12,0.78,150,3,0.068,5.01
gps_jamming,ekf,3x_noise_p95,178.29,1.2,2.1899,1.4945,1.8254,0.5796,0.6105,12,0.78,150,3,0.116,8.446
gps_jamming,ekf,3x_noise_p95,178.39,1.3,2.3063,1.4945,1.7745,0.6246,0.6095,12,0.78,160,3,0.189,11.053
gps_jamming,ekf,3x_noise_p95,178.49,1.4,2.4117,1.4945,1.723,0.6553,0.6247,12,0.78,160,3,0.147,5.226
gps_jamming,ekf,3x_noise_p95,178.59,1.5,2.551,1.4945,1.7011,0.7045,0.6308,12,0.78,160,3,0.138,4.354
gps_jamming,ekf,3x_noise_p95,178.69,1.6,2.6693,1.4945,1.6687,0.7344,0.6286,12,0.78,160,3,0.207,12.424
gps_jamming,ekf,3x_noise_p95,178.79,1.7,2.8126,1.4945,1.6549,0.7755,0.6413,12,0.78,160,3,0.268,4.72
gps_jamming,ekf,3x_noise_p95,178.89,1.8,2.923,1.4945,1.6243,0.7938,0.6386,12,0.78,160,3,0.267,4.064
gps_jamming,ekf,3x_noise_p95,178.99,1.9,3.0564,1.4945,1.609,0.8222,0.6496,12,0.78,160,3,0.244,5.891
gps_jamming,ekf,3x_noise_p95,179.09,2.0,3.1603,1.4945,1.5805,0.8331,0.647,12,0.78,160,3,0.187,4.617
gps_jamming,ekf,3x_noise_p95,179.19,2.1,3.2798,1.4945,1.5622,0.8503,0.6565,12,0.78,160,3,0.171,3.487
gps_jamming,ekf,3x_noise_p95,179.29,2.2,3.3732,1.4945,1.5336,0.8541,0.6597,12,0.78,160,3,0.171,3.276
gps_jamming,ekf,3x_noise_p95,179.39,2.3,3.4753,1.4945,1.5114,0.8614,0.657,12,0.78,160,3,0.173,4.525
gps_jamming,ekf,3x_noise_p95,179.49,2.4,3.5603,1.4945,1.4838,0.861,0.665,12,0.78,160,3,0.161,4.924
gps_jamming,ekf,3x_noise_p95,179.59,2.5,3.6582,1.4945,1.4636,0.8657,0.6619,12,0.78,160,3,0.142,3.694
gps_jamming,ekf,3x_noise_p95,179.69,2.6,3.7347,1.4945,1.4368,0.8618,0.6681,12,0.78,160,3,0.133,9.989
gps_jamming,ekf,3x_noise_p95,179.79,2.7,3.8363,1.4945,1.4212,0.8676,0.6641,12,0.78,160,3,0.158,7.028
gps_jamming,ekf,3x_noise_p95,179.89,2.8,3.9156,1.4945,1.3988,0.8649,0.6677,12,0.78,160,3,0.138,7.8
gps_jamming,ekf,3x_noise_p95,179.99,2.9,4.0147,1.4945,1.3847,0.8692,0.6621,12,0.78,160,3,0.202,5.121
gps_jamming,ekf,3x_noise_p95,180.09,3.0,4.099,1.4945,1.3667,0.8684,0.6591,12,0.78,160,3,0.275,5.854
gps_jamming,ekf,3x_noise_p95,180.19,3.1,4.2142,1.4945,1.3598,0.8775,0.6566,12,0.78,160,3,0.457,8.205
gps_jamming,ekf,3x_noise_p95,180.29,3.2,4.3245,1.4945,1.3517,0.8846,0.6481,12,0.78,160,3,0.646,4.261
gps_jamming,ekf,3x_noise_p95,180.39,3.3,4.4559,1.4945,1.3506,0.8976,0.6409,12,0.78,160,3,0.838,8.836
gps_jamming,ekf,3x_noise_p95,180.49,3.4,4.5785,1.4945,1.3469,0.9073,0.6309,12,0.78,160,3,0.936,11.055
gps_jamming,ekf,3x_noise_p95,180.59,3.5,4.673,1.4945,1.3355,0.9084,0.6195,12,0.78,160,3,0.932,9.837
gps_jamming,ekf,3x_noise_p95,180.69,3.6,4.7581,1.4945,1.322,0.9068,0.6088,12,0.78,160,3,0.884,2.187
gps_jamming,ekf,3x_noise_p95,180.79,3.7,4.8072,1.4945,1.2996,0.8955,0.5937,12,0.78,160,3,0.765,2.758
gps_jamming,ekf,3x_noise_p95,180.89,3.8,4.8461,1.4945,1.2756,0.8822,0.5797,12,0.78,160,3,0.649,5.767
gps_jamming,ekf,3x_noise_p95,180.99,3.9,4.8514,1.4945,1.2443,0.861,0.5696,12,0.78,160,3,0.597,1.653
gps_jamming,ekf,3x_noise_p95,181.09,4.0,4.8666,1.4945,1.2169,0.8432,0.5509,12,0.78,160,3,0.667,6.455
gps_jamming,ekf,3x_noise_p95,181.19,4.1,4.879,1.4945,1.1903,0.8257,0.5414,12,0.78,160,3,0.753,6.879
gps_jamming,ekf,3x_noise_p95,181.29,4.2,4.9148,1.4945,1.1705,0.8145,0.5213,12,0.78,160,3,0.884,4.697
gps_jamming,ekf,3x_noise_p95,181.39,4.3,4.9675,1.4945,1.1555,0.8079,0.5124,12,0.78,160,3,1.037,8.423
gps_jamming,ekf,3x_noise_p95,181.49,4.4,5.0395,1.4945,1.1456,0.8059,0.4907,12,0.78,160,3,1.152,7.212
gps_jamming,ekf,3x_noise_p95,181.59,4.5,5.1009,1.4945,1.1338,0.8016,0.4819,12,0.78,160,3,1.216,5.41
gps_jamming,ekf,3x_noise_p95,181.69,4.6,5.1741,1.4945,1.1251,0.8001,0.4659,12,0.78,160,3,1.243,7.089
gps_jamming,ekf,3x_noise_p95,181.79,4.7,5.2106,1.4945,1.1089,0.7909,0.4493,12,0.78,160,3,1.159,4.225
gps_jamming,ekf,3x_noise_p95,181.89,4.8,5.255,1.4945,1.0951,0.7836,0.4326,12,0.78,160,3,1.077,2.788
gps_jamming,ekf,3x_noise_p95,181.99,4.9,5.2642,1.4945,1.0746,0.7695,0.4156,12,0.78,160,3,0.996,6.354
gps_jamming,ekf,3x_noise_p95,182.09,5.0,5.2894,1.4945,1.0582,0.7592,0.3988,12,0.78,160,3,0.979,4.797
gps_jamming,ekf,3x_noise_p95,182.19,5.1,5.3066,1.4945,1.0408,0.7477,0.3822,12,0.78,160,3,0.989,10.377
gps_jamming,ekf,3x_noise_p95,182.29,5.2,5.348,1.4945,1.0287,0.7412,0.3658,12,0.78,160,3,1.081,9.072
gps_jamming,ekf,3x_noise_p95,182.39,5.3,5.3883,1.4945,1.0169,0.7349,0.3498,12,0.78,160,3,1.174,3.023
gps_jamming,ekf,3x_noise_p95,182.49,5.4,5.4546,1.4945,1.0104,0.7335,0.3342,12,0.78,160,3,1.266,3.055
gps_jamming,ekf,3x_noise_p95,182.59,5.5,5.5111,1.4945,1.0023,0.7305,0.3193,12,0.78,160,3,1.309,7.316
gps_jamming,ekf,3x_noise_p95,182.69,5.6,5.584,1.4945,0.9974,0.7305,0.3049,12,0.78,160,3,1.307,3.367
gps_jamming,ekf,3x_noise_p95,182.79,5.7,5.6293,1.4945,0.9878,0.7256,0.2914,12,0.78,160,3,1.219,9.485
gps_jamming,ekf,3x_noise_p95,182.89,5.8,5.6797,1.4945,0.9795,0.7218,0.2785,12,0.78,160,3,1.083,14.417
gps_jamming,ekf,3x_noise_p95,182.99,5.9,5.6992,1.4945,0.9662,0.7128,0.2663,12,0.78,160,3,0.906,1.759
gps_jamming,ekf,3x_noise_p95,183.09,6.0,5.7163,1.4945,0.953,0.7038,0.2546,12,0.78,160,3,0.689,3.598
gps_jamming,ekf,3x_noise_p95,183.19,6.1,5.7233,1.4945,0.9385,0.6934,0.2432,12,0.78,160,3,0.416,12.869
gps_jamming,ekf,3x_noise_p95,183.29,6.2,5.7218,1.4945,0.9231,0.682,0.2322,12,0.78,160,3,0.158,4.421
gps_jamming,ekf,3x_noise_p95,183.39,6.3,5.7199,1.4945,0.9082,0.6709,0.2215,12,0.78,161,3,0.176,7.954
gps_jamming,ekf,3x_noise_p95,183.49,6.4,5.7132,1.4945,0.8929,0.6593,0.2112,12,0.78,161,3,0.316,8.837
gps_jamming,ekf,3x_noise_p95,183.59,6.5,5.7246,1.4945,0.8809,0.6509,0.2015,12,0.78,161,3,0.396,5.623
gps_jamming,ekf,3x_noise_p95,183.69,6.6,5.7367,1.4945,0.8694,0.6429,0.1924,12,0.78,161,3,0.482,2.115
gps_jamming,ekf,3x_noise_p95,183.79,6.7,5.7748,1.4945,0.8621,0.639,0.1841,12,0.78,161,3,0.52,5.353
gps_jamming,ekf,3x_noise_p95,183.89,6.8,5.819,1.4945,0.856,0.6361,0.1765,12,0.78,161,3,0.538,9.809
gps_jamming,ekf,3x_noise_p95,183.99,6.9,5.8746,1.4945,0.8516,0.6349,0.1698,12,0.78,161,3,0.659,1.677
gps_jamming,ekf,3x_noise_p95,184.09,7.0,5.9487,1.4945,0.85,0.6365,0.1618,12,0.78,161,3,0.846,11.039
gps_jamming,ekf,3x_noise_p95,184.19,7.1,6.0211,1.4945,0.8482,0.6377,0.1591,12,0.78,161,3,1.075,6.608
gps_jamming,ekf,3x_noise_p95,184.29,7.2,6.1147,1.4945,0.8495,0.6418,0.1551,12,0.78,161,3,1.287,6.741
gps_jamming,ekf,3x_noise_p95,184.39,7.3,6.1581,1.4945,0.8438,0.639,0.1518,12,0.78,171,3,1.394,3.524
gps_jamming,ekf,3x_noise_p95,184.49,7.4,6.2249,1.4945,0.8414,0.6394,0.1492,12,0.78,171,3,1.452,9.885
gps_jamming,ekf,3x_noise_p95,184.59,7.5,6.2185,1.4945,0.8293,0.63,0.1471,12,0.78,171,3,1.429,8.723
gps_jamming,ekf,3x_noise_p95,184.69,7.6,6.2233,1.4945,0.8191,0.6224,0.1455,12,0.78,171,3,1.294,3.933
gps_jamming,ekf,3x_noise_p95,184.79,7.7,6.1699,1.4945,0.8015,0.6073,0.1395,12,0.78,171,3,1.099,3.227
gps_jamming,ekf,3x_noise_p95,184.89,7.8,6.1211,1.4945,0.785,0.5933,0.1427,12,0.78,171,3,0.811,5.51
