scenario,n_normal,normal_rate_fps,n_attack_frames,n_bursts,burst_classes,assigned_classes,evidence
type1,91042,508.4,116816,3,dos_flooding;dos_flooding;dos_flooding,dos_flooding,b0[dos_flooding]: rate=1302.9fps x2.56 distinct=0.002 ent=1.07 | b1[dos_flooding]: rate=1297.1fps x2.55 distinct=0.002 ent=1.07 | b2[dos_flooding]: rate=1294.0fps x2.54 distinct=0.002 ent=1.07
type2,102240,567.9,31930,3,replay;replay;replay,replay,b0[replay]: rate=354.8fps x0.62 distinct=0.006 ent=1.07 | b1[replay]: rate=354.8fps x0.62 distinct=0.006 ent=1.07 | b2[replay]: rate=354.8fps x0.62 distinct=0.006 ent=1.07
type3,101601,565.3,95878,3,fuzzing;fuzzing;fuzzing,fuzzing,b0[fuzzing]: rate=1070.2fps x1.89 distinct=1.0 ent=2.88 | b1[fuzzing]: rate=1073.3fps x1.9 distinct=1.0 ent=2.88 | b2[fuzzing]: rate=1052.5fps x1.86 distinct=1.0 ent=2.88
type4,104204,583.5,29170,3,fuzzing;fuzzing;fuzzing,fuzzing,b0[fuzzing]: rate=323.7fps x0.55 distinct=1.0 ent=2.88 | b1[fuzzing]: rate=324.4fps x0.56 distinct=1.0 ent=2.88 | b2[fuzzing]: rate=324.3fps x0.56 distinct=1.0 ent=2.88
type5,129996,618.9,50612,3,fuzzing;fuzzing;fuzzing,fuzzing,b0[fuzzing]: rate=505.7fps x0.82 distinct=0.663 ent=2.75 | b1[fuzzing]: rate=506.8fps x0.82 distinct=0.657 ent=2.75 | b2[fuzzing]: rate=505.7fps x0.82 distinct=0.663 ent=2.75
type6,160233,572.2,81088,4,fuzzing;fuzzing;fuzzing;fuzzing,fuzzing,b0[fuzzing]: rate=506.8fps x0.89 distinct=0.657 ent=2.75 | b1[fuzzing]: rate=506.8fps x0.89 distinct=0.657 ent=2.75 | b2[fuzzing]: rate=506.8fps x0.89 distinct=0.657 ent=2.75 | b3[fuzzing]: rate=506.8fps x0.89 distinct=0.657 ent=2.75
type7,141550,589.7,92612,4,replay;fuzzing;replay;fuzzing,replay;fuzzing,b0[replay]: rate=351.0fps x0.6 distinct=0.005 ent=1.07 | b1[fuzzing]: rate=1076.1fps x1.82 distinct=1.0 ent=2.88 | b2[replay]: rate=350.4fps x0.59 distinct=0.005 ent=1.07 | b3[fuzzing]: rate=1075.9fps x1.82 distinct=1.0 ent=2.88
type8,150492,601.9,115308,4,fuzzing;fuzzing;fuzzing;fuzzing,fuzzing,b0[fuzzing]: rate=1062.0fps x1.76 distinct=1.0 ent=2.88 | b1[fuzzing]: rate=505.7fps x0.84 distinct=0.663 ent=2.75 | b2[fuzzing]: rate=1062.3fps x1.76 distinct=1.0 ent=2.88 | b3[fuzzing]: rate=505.7fps x0.84 distinct=0.663 ent=2.75
type9,163126,604.1,67252,4,replay;fuzzing;replay;fuzzing,replay;fuzzing,b0[replay]: rate=353.4fps x0.58 distinct=0.004 ent=1.07 | b1[fuzzing]: rate=506.8fps x0.84 distinct=0.657 ent=2.75 | b2[replay]: rate=353.6fps x0.59 distinct=0.005 ent=1.07 | b3[fuzzing]: rate=505.7fps x0.84 distinct=0.663 ent=2.75
type10,131530,597.8,75850,3,replay;fuzzing;fuzzing,replay;fuzzing,b0[replay]: rate=352.0fps x0.59 distinct=0.004 ent=1.07 | b1[fuzzing]: rate=1077.0fps x1.8 distinct=1.0 ent=2.88 | b2[fuzzing]: rate=505.7fps x0.85 distinct=0.663 ent=2.75
