scenario,mode,epsilon,seed,policy,packet,hop,from,to,residual_s,path_match,suspicious,malicious_sender
1,low,0.25,37,AODV,1001,0,n2,n6,0.089,1,0,0
1,low,0.25,37,AODV,1001,1,n6,n10,4.195,1,1,1
1,low,0.25,37,AODV,1001,2,n10,n14,3.942,1,1,1
1,low,0.25,37,AODV,1001,3,n14,S,0.117,1,0,0
1,low,0.25,37,OLSR,1001,0,n2,n6,0.089,1,0,0
1,low,0.25,37,OLSR,1001,1,n6,n10,4.195,1,1,1
1,low,0.25,37,OLSR,1001,2,n10,n14,3.942,1,1,1
1,low,0.25,37,OLSR,1001,3,n14,S,0.117,1,0,0
1,low,0.25,37,DSR,1001,0,n2,n6,0.089,1,0,0
1,low,0.25,37,DSR,1001,1,n6,n10,4.195,1,1,1
1,low,0.25,37,DSR,1001,2,n10,n14,3.942,1,1,1
1,low,0.25,37,DSR,1001,3,n14,S,0.117,1,0,0
1,low,0.25,37,DSDV,1001,0,n2,n6,0.089,1,0,0
1,low,0.25,37,DSDV,1001,1,n6,n10,4.195,1,1,1
1,low,0.25,37,DSDV,1001,2,n10,n14,3.942,1,1,1
1,low,0.25,37,DSDV,1001,3,n14,S,0.117,1,0,0
1,low,0.25,38,AODV,1001,0,n2,n6,0.155,1,0,0
1,low,0.25,38,AODV,1001,1,n6,n10,4.303,1,1,1
1,low,0.25,38,AODV,1001,2,n10,n9,4.132,0,1,1
1,low,0.25,38,AODV,1001,3,n9,n13,0.128,1,0,0
1,low,0.25,38,AODV,1001,4,n13,S,0.103,1,0,0
1,low,0.25,38,OLSR,1001,0,n2,n6,0.155,1,0,0
1,low,0.25,38,OLSR,1001,1,n6,n10,4.303,1,1,1
1,low,0.25,38,OLSR,1001,2,n10,n9,4.132,1,1,1
1,low,0.25,38,OLSR,1001,3,n9,n13,0.128,1,0,0
1,low,0.25,38,OLSR,1001,4,n13,S,0.103,1,0,0
1,low,0.25,38,DSR,1001,0,n2,n6,0.155,1,0,0
1,low,0.25,38,DSR,1001,1,n6,n10,4.303,1,1,1
1,low,0.25,38,DSR,1001,2,n10,n14,64.132,1,1,1
1,low,0.25,38,DSR,1001,3,n14,S,0.103,1,0,0
1,low,0.25,38,DSDV,1001,0,n2,n6,0.155,1,0,0
1,low,0.25,38,DSDV,1001,1,n6,n10,4.303,1,1,1
1,low,0.25,38,DSDV,1001,2,n10,n9,4.132,1,1,1
1,low,0.25,38,DSDV,1001,3,n9,n13,0.128,1,0,0
1,low,0.25,38,DSDV,1001,4,n13,S,0.103,1,0,0
1,low,0.25,39,AODV,1001,0,n2,n6,0.166,1,0,0
1,low,0.25,39,AODV,1001,1,n6,n10,4.132,1,1,1
1,low,0.25,39,AODV,1001,2,n10,n9,4.303,0,1,1
1,low,0.25,39,AODV,1001,3,n9,n13,0.108,1,0,0
1,low,0.25,39,AODV,1001,4,n13,S,0.150,1,0,0
1,low,0.25,39,OLSR,1001,0,n2,n6,0.166,1,0,0
1,low,0.25,39,OLSR,1001,1,n6,n10,4.132,1,1,1
1,low,0.25,39,OLSR,1001,2,n10,n9,4.303,1,1,1
1,low,0.25,39,OLSR,1001,3,n9,n13,0.108,1,0,0
1,low,0.25,39,OLSR,1001,4,n13,S,0.150,1,0,0
1,low,0.25,39,DSR,1001,0,n2,n6,0.166,1,0,0
1,low,0.25,39,DSR,1001,1,n6,n10,4.132,1,1,1
1,low,0.25,39,DSR,1001,2,n10,n14,64.303,1,1,1
1,low,0.25,39,DSR,1001,3,n14,S,0.150,1,0,0
1,low,0.25,39,DSDV,1001,0,n2,n6,0.166,1,0,0
1,low,0.25,39,DSDV,1001,1,n6,n10,4.132,1,1,1
1,low,0.25,39,DSDV,1001,2,n10,n9,4.303,1,1,1
1,low,0.25,39,DSDV,1001,3,n9,n13,0.108,1,0,0
1,low,0.25,39,DSDV,1001,4,n13,S,0.150,1,0,0
1,low,0.25,40,AODV,1001,0,n2,n6,0.127,1,0,0
1,low,0.25,40,AODV,1001,1,n6,n10,63.415,1,1,1
1,low,0.25,40,AODV,1001,2,n10,n14,3.838,1,1,1
1,low,0.25,40,AODV,1001,3,n14,S,0.148,1,0,0
1,low,0.25,40,OLSR,1001,0,n2,n6,0.127,1,0,0
1,low,0.25,40,OLSR,1001,1,n6,n10,63.415,1,1,1
