scenario,mode,epsilon,seed,policy,packet,from,to,window,expected_s,send_s,overshoot_s,malicious_sender
1,low,0.25,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,0.25,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,0.25,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,0.25,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,0.25,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.25,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.25,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.25,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.25,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.25,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,0.25,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.25,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,0.25,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.25,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,0.25,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.25,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,0.25,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.25,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.25,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.25,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,0.25,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,0.25,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,0.25,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.25,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.25,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.25,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.25,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.25,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,0.25,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,0.25,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,0.25,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,0.5,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
