scope,mission,receiver,js_db,n,mcr,ci_low,ci_high
per_distribution,cargo_mixed_terrain,gp_software_receiver,all,2647,0.8829,0.8701,0.8946
per_distribution,cargo_mixed_terrain,novatel_oem7_sim,all,2577,0.884,0.871,0.8958
per_distribution,cargo_mixed_terrain,ublox_f9p_sim,all,2649,0.8913,0.8789,0.9026
per_distribution,perimeter_patrol,gp_software_receiver,all,2581,0.8857,0.8729,0.8974
per_distribution,perimeter_patrol,novatel_oem7_sim,all,2636,0.8835,0.8707,0.8952
per_distribution,perimeter_patrol,ublox_f9p_sim,all,2629,0.8931,0.8807,0.9044
per_distribution,search_and_rescue,gp_software_receiver,all,2552,0.8817,0.8686,0.8936
per_distribution,search_and_rescue,novatel_oem7_sim,all,2564,0.8888,0.8761,0.9004
per_distribution,search_and_rescue,ublox_f9p_sim,all,2565,0.8893,0.8765,0.9008
summary,spread_over_distributions,,all,9,0.0114,0.8817,0.8931
summary,max_spread_across_mission,novatel_oem7_sim,35.0,117,0.2138,0.597,0.8108
summary,max_spread_across_receiver,cargo_mixed_terrain,30.0,117,0.1538,0.7077,0.8615
js_at_mcr_0.90,cargo_mixed_terrain,gp_software_receiver,27.0968,,,,
js_at_mcr_0.90,cargo_mixed_terrain,novatel_oem7_sim,18.0645,,,,
js_at_mcr_0.90,cargo_mixed_terrain,ublox_f9p_sim,20.6452,,,,
js_at_mcr_0.90,perimeter_patrol,gp_software_receiver,20.6452,,,,
js_at_mcr_0.90,perimeter_patrol,novatel_oem7_sim,23.2258,,,,
js_at_mcr_0.90,perimeter_patrol,ublox_f9p_sim,25.0,,,,
js_at_mcr_0.90,search_and_rescue,gp_software_receiver,25.0,,,,
js_at_mcr_0.90,search_and_rescue,novatel_oem7_sim,23.2258,,,,
js_at_mcr_0.90,search_and_rescue,ublox_f9p_sim,23.2258,,,,
