comparison,epsilon,n_pairs,median_diff,p_raw,p_holm,significant_0.05
undetected_budget_medium_vs_low,1.5,96,0.0,0.04550026389635839,0.13650079168907517,0
undetected_budget_medium_vs_low,2.0,96,0.0,0.04550026389635839,0.13650079168907517,0
undetected_budget_medium_vs_low,3.0,96,0.0,0.3247811048445364,0.3247811048445364,0
undetected_budget_medium_vs_low,4.0,96,-2.938,2.684882073610834e-10,1.0739528294443336e-09,1
undetected_budget_medium_vs_low,5.0,96,-3.169,2.202446339085979e-14,2.202446339085979e-13,1
undetected_budget_medium_vs_low,6.0,96,-3.169,2.202446339085979e-14,2.202446339085979e-13,1
undetected_budget_medium_vs_low,6.5,96,-3.169,2.202446339085979e-14,2.202446339085979e-13,1
undetected_budget_medium_vs_low,7.0,96,-3.169,2.202446339085979e-14,2.202446339085979e-13,1
undetected_budget_medium_vs_low,8.0,96,-3.169,2.202446339085979e-14,2.202446339085979e-13,1
undetected_budget_medium_vs_low,10.0,96,-3.169,2.202446339085979e-14,2.202446339085979e-13,1
floor_composed_vs_autonomy_only__kinematic_v15,0.25,192,1.0,1.1635524276760086e-43,1.512618155978811e-42,1
floor_composed_vs_autonomy_only__kinematic_v15,0.5,192,1.0,1.1635524276760086e-43,1.512618155978811e-42,1
floor_composed_vs_autonomy_only__kinematic_v15,1.0,192,1.0,1.1635524276760086e-43,1.512618155978811e-42,1
floor_composed_vs_autonomy_only__kinematic_v15,1.5,192,1.0,8.687597730247584e-43,8.687597730247584e-42,1
floor_composed_vs_autonomy_only__kinematic_v15,2.0,192,1.0,8.687597730247584e-43,8.687597730247584e-42,1
floor_composed_vs_autonomy_only__kinematic_v15,3.0,192,1.0,5.531794849766848e-38,4.425435879813478e-37,1
floor_composed_vs_autonomy_only__kinematic_v15,4.0,192,1.0,2.023160542233985e-24,1.4162123795637895e-23,1
floor_composed_vs_autonomy_only__kinematic_v15,5.0,192,0.0,2.004896080280303e-13,1.2029376481681819e-12,1
floor_composed_vs_autonomy_only__kinematic_v15,6.0,192,0.0,2.004896080280303e-13,1.2029376481681819e-12,1
floor_composed_vs_autonomy_only__kinematic_v15,6.5,192,0.0,2.004896080280303e-13,1.2029376481681819e-12,1
floor_composed_vs_autonomy_only__kinematic_v15,7.0,192,0.0,2.004896080280303e-13,1.2029376481681819e-12,1
floor_composed_vs_autonomy_only__kinematic_v15,8.0,192,0.0,2.004896080280303e-13,1.2029376481681819e-12,1
floor_composed_vs_autonomy_only__kinematic_v15,10.0,192,0.0,2.004896080280303e-13,1.2029376481681819e-12,1
