scenario,mode,epsilon,recall,fpr,precision,n_runs
1,low,0.25,0.9375,0.0,1.0,32
1,low,0.5,0.9375,0.0,1.0,32
1,low,1.0,0.9375,0.0,1.0,32
1,low,1.5,0.9375,0.0,1.0,32
1,low,2.0,0.9375,0.0,1.0,32
1,low,3.0,0.9375,0.0,1.0,32
1,low,4.0,0.609375,0.0,0.8125,32
1,low,5.0,0.234375,0.0,0.4375,32
1,low,6.0,0.234375,0.0,0.4375,32
1,low,6.5,0.234375,0.0,0.4375,32
1,low,7.0,0.234375,0.0,0.4375,32
1,low,8.0,0.234375,0.0,0.4375,32
1,low,10.0,0.234375,0.0,0.4375,32
1,medium,0.25,0.796875,0.0,1.0,32
1,medium,0.5,0.796875,0.0,1.0,32
1,medium,1.0,0.796875,0.0,1.0,32
1,medium,1.5,0.796875,0.0,1.0,32
1,medium,2.0,0.796875,0.0,1.0,32
1,medium,3.0,0.765625,0.0,0.9375,32
1,medium,4.0,0.75,0.0,0.9375,32
1,medium,5.0,0.65625,0.0,0.9375,32
1,medium,6.0,0.65625,0.0,0.9375,32
1,medium,6.5,0.65625,0.0,0.9375,32
1,medium,7.0,0.65625,0.0,0.9375,32
1,medium,8.0,0.65625,0.0,0.9375,32
1,medium,10.0,0.65625,0.0,0.9375,32
2,low,0.25,1.0,0.0,1.0,32
2,low,0.5,1.0,0.0,1.0,32
2,low,1.0,1.0,0.0,1.0,32
2,low,1.5,0.9375,0.0,1.0,32
2,low,2.0,0.9375,0.0,1.0,32
2,low,3.0,0.9375,0.0,1.0,32
2,low,4.0,0.5,0.0,0.875,32
2,low,5.0,0.125,0.0,0.25,32
2,low,6.0,0.125,0.0,0.25,32
2,low,6.5,0.125,0.0,0.25,32
2,low,7.0,0.125,0.0,0.25,32
2,low,8.0,0.125,0.0,0.25,32
2,low,10.0,0.125,0.0,0.25,32
2,medium,0.25,1.0,0.0,1.0,32
2,medium,0.5,1.0,0.0,1.0,32
2,medium,1.0,1.0,0.0,1.0,32
2,medium,1.5,1.0,0.0,1.0,32
2,medium,2.0,1.0,0.0,1.0,32
2,medium,3.0,1.0,0.0,1.0,32
2,medium,4.0,0.9375,0.0,1.0,32
2,medium,5.0,0.625,0.0,0.875,32
2,medium,6.0,0.625,0.0,0.875,32
2,medium,6.5,0.625,0.0,0.875,32
2,medium,7.0,0.625,0.0,0.875,32
2,medium,8.0,0.625,0.0,0.875,32
2,medium,10.0,0.625,0.0,0.875,32
3,low,0.25,1.0,0.0,1.0,32
3,low,0.5,1.0,0.0,1.0,32
3,low,1.0,1.0,0.0,1.0,32
3,low,1.5,1.0,0.0,1.0,32
3,low,2.0,1.0,0.0,1.0,32
3,low,3.0,0.8125,0.0,1.0,32
3,low,4.0,0.5625,0.0,0.875,32
3,low,5.0,0.3125,0.0,0.5,32
3,low,6.0,0.3125,0.0,0.5,32
3,low,6.5,0.3125,0.0,0.5,32
3,low,7.0,0.3125,0.0,0.5,32
3,low,8.0,0.3125,0.0,0.5,32
3,low,10.0,0.3125,0.0,0.5,32
3,medium,0.25,1.0,0.0,1.0,32
3,medium,0.5,1.0,0.0,1.0,32
3,medium,1.0,1.0,0.0,1.0,32
3,medium,1.5,1.0,0.0,1.0,32
3,medium,2.0,1.0,0.0,1.0,32
3,medium,3.0,0.875,0.0,1.0,32
3,medium,4.0,0.8125,0.0,1.0,32
3,medium,5.0,0.625,0.0,0.875,32
3,medium,6.0,0.625,0.0,0.875,32
3,medium,6.5,0.625,0.0,0.875,32
3,medium,7.0,0.625,0.0,0.875,32
3,medium,8.0,0.625,0.0,0.875,32
3,medium,10.0,0.625,0.0,0.875,32
